base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
30268619838,1647110482,215887,31768619838,163754,37285107008,1500000000,1500000000
14483111767,1647061767,215887,15874781548,163754,15874781548,1410000000,1391669781
19757343613,1647431976,284951,32000000000,231903,,,
37125376430,1647438681,276617,38625376430,223683,48088086688,1500000000,1500000000
38595006406,1647453598,215887,39630055116,163754,41323571378,1035048710,1035048710
25389273844,1647115679,212374,26579170949,155505,26579170949,1500000000,1189897105
27872571463,1647105572,215887,29872571463,163754,34213236267,2000000000,2000000000
28639897900,1647104595,215887,32639897900,163754,33646102040,4000000000,4000000000
10342620715,1647068653,251534,11559249538,198942,12000000000,1216628823,1216628823
10342620715,1647068653,215887,11601533773,163754,12000000000,1258913058,1258913058
10342620715,1647068653,290755,11606168715,237615,11772327596,1263548000,1263548000
10342620715,1647068653,310530,11740000000,229421,11740000000,1650000000,1397379285
10342620715,1647068653,284851,11752620715,164704,12000000000,1410000000,1410000000
10342620715,1647068653,274169,11752620715,221241,12000000000,1410000000,1410000000
10342620715,1647068653,215887,11752620715,163754,12000000000,1410000000,1410000000
10342620715,1647068653,265806,11752620715,213007,12000000000,1410000000,1410000000
10342620715,1647068653,251552,11752620715,198959,11953756119,1410000000,1410000000
10342620715,1647068653,274082,11842620715,136954,14000000000,1500000000,1500000000
10342620715,1647068653,284851,12000000000,164704,12000000000,12000000000,1657379285
30304825115,1647389720,215887,31804825115,163754,42703689558,1500000000,1500000000
19286562711,1647439848,215887,20786562711,163754,27747165755,1500000000,1500000000
18234485699,1647408715,38919,19734485699,25946,27382432923,1500000000,1500000000
21076395374,1647122563,290929,22576395374,237788,23683106797,1500000000,1500000000
22729000589,1647091162,215887,24229000589,163754,24630345139,1500000000,1500000000
13828630193,1647082123,284897,15328630193,231850,18023758545,1500000000,1500000000
44474621212,1647401290,215887,45974621212,163754,52778605264,1500000000,1500000000
44474621212,1647401290,215887,45974621212,163754,52778605264,1500000000,1500000000
44994184028,1647457839,215887,46404184028,163754,50459588360,1410000000,1410000000
24263281468,1647405290,268218,25475881468,215398,33994558546,1212600000,1212600000
24263281468,1647405290,215887,25763281468,163754,29444785809,1500000000,1500000000
54642836466,1647446158,215875,56142836466,163742,57805130389,1500000000,1500000000
54642836466,1647446158,215887,56142836466,163754,57805130389,1500000000,1500000000
54642836466,1647446158,215887,56142836466,163754,57805130389,1500000000,1500000000
11997697908,1647068521,284858,12997697908,231811,13196705399,1000000000,1000000000
11997697908,1647068521,251529,13563685276,131837,22000000000,1565987368,1565987368
11997697908,1647068521,251529,13497697908,131837,21000000000,1500000000,1500000000
