base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
57087905435,1632637952,21000,58587905435,21000,75105236847,1500000000,1500000000
,1618316957,21000,125000000000,21000,,,
,1621469584,21000,200000000000,21000,,,
,1625410920,21000,12000000000,21000,,,
158709144991,1641938288,21000,173889999599,21000,,,
95352037896,1637912235,21000,96852037896,21000,124781126788,1500000000,1500000000
148308176787,1636754177,21000,208000000000,21000,,,
120789474825,1636603509,21000,139000000000,21000,139000000000,139000000000,18210525175
54573424744,1631394310,21000,56073424744,21000,77207824131,1500000000,1500000000
135537718423,1641884721,21000,137202068906,21000,170111824757,1664350483,1664350483
175480219534,1641918758,21000,176980219534,21000,231981039174,1500000000,1500000000
99680334755,1643643077,21000,101180334755,21000,132557917542,1500000000,1500000000
58038172930,1630139862,21000,66000000000,21000,66000000000,66000000000,7961827070
183802778545,1636682781,21000,185468722554,21000,216480576910,1665944009,1665944009
115159808109,1636625611,21000,123000000000,21000,123000000000,123000000000,7840191891
,1620134609,21000,70000000000,21000,,,
98060086173,1637930512,21000,99560086173,21000,102667698730,1500000000,1500000000
,1618176154,21000,67000000000,21000,,,
,1618137214,21000,110000000000,21000,,,
,1621499691,21000,80000000000,21000,,,
120861404530,1637961992,21000,122361404530,21000,124915218725,1500000000,1500000000
80416564932,1637892319,21000,81598474025,21000,85107103304,1181909093,1181909093
,1623224879,22000,42000000000,21000,,,
144694083265,1632238127,21000,152000000000,21000,152000000000,152000000000,7305916735
71275460388,1645296879,21000,72775460388,21000,106577400187,1500000000,1500000000
137046855078,1636697982,21000,138546855078,21000,152033539094,1500000000,1500000000
,1618149338,21000,74000000000,21000,,,
,1618130061,21000,79001000000,21000,,,
,1618292259,21000,67000000000,21000,,,
,1621481653,21000,113000000000,21000,,,
84058185057,1637931319,21000,85558185057,21000,87747197375,1500000000,1500000000
,1623241956,22000,45000000000,21000,,,
48658882963,1631350308,21000,55000000000,21000,,,
,1618179163,21000,64000000000,21000,,,
119189154450,1637922543,21000,120689154450,21000,158366544922,1500000000,1500000000
,1622866427,22000,39000000000,21000,,,
151149758475,1641911045,21000,153649758475,21000,295702682068,2500000000,2500000000
178560331494,1641937243,21000,180060331494,21000,246553588549,1500000000,1500000000
69482744730,1643632539,21000,70126973987,21000,70126973987,1500000000,644229257
108779905127,1636720121,21000,110279905127,21000,146271850764,1500000000,1500000000
143160508823,1636490324,21000,144660508823,21000,176120219487,1500000000,1500000000
,1620160046,21000,53000000000,21000,,,
219294684702,1636661497,21000,220794684702,21000,223358007573,1500000000,1500000000
47528233824,1631364437,21000,49028233824,21000,68104599813,1500000000,1500000000
,1618180752,21000,80000000000,21000,,,
112100509581,1637935268,21000,113600509581,21000,122640564011,1500000000,1500000000
189238768783,1637915290,21000,191178768783,21000,221788196083,1940000000,1940000000
157061088099,1641897058,21000,158561088099,21000,176021841247,1500000000,1500000000
62041579171,1643628446,21000,63541579171,21000,65818543124,1500000000,1500000000
226055653659,1636416436,21000,227826239279,21000,238657641414,1770585620,1770585620
,1622539636,21000,21000000000,21000,,,
92788990636,1637913523,21000,100100000000,21000,100100000000,100100000000,7311009364
78932310421,1637896914,21000,80432310421,21000,98444235888,1500000000,1500000000
,1623248890,21000,19000000000,21000,,,
117828628903,1636695522,21000,121000000000,21000,,,
138071305708,1636500311,21000,201000000000,21000,,,
,1618177095,21000,63100000000,21000,,,
,1618278832,21000,72100001502,21000,,,
186353830214,1636416266,21000,188235630214,21000,250071758851,1881800000,1881800000
,1621494644,21000,75000000000,21000,,,
80725117791,1637906795,21000,82225117791,21000,96986663326,1500000000,1500000000
113668161227,1637963444,21000,115168161227,21000,140628303270,1500000000,1500000000
93550767027,1637949303,21000,95050767027,21000,101877714824,1500000000,1500000000
91419380357,1637892028,21000,92919380357,21000,107846909069,1500000000,1500000000
50014883641,1631375032,21000,54000000000,21000,54000000000,54000000000,3985116359
66630718510,1634036582,21000,75000000000,21000,75000000000,75000000000,8369281490
,1618185211,21000,62999998464,21000,,,
72649738037,1637896566,21000,74149738037,21000,90123491522,1500000000,1500000000
193514895339,1641864338,21000,195014895339,21000,244963722242,1500000000,1500000000
120122803749,1636592205,25200,144079870025,21000,,,
215364730608,1636658383,21000,216864730608,21000,251835396639,1500000000,1500000000
83436638815,1634002138,21000,110000000000,21000,110000000000,110000000000,26563361185
,1618286867,21000,67000000000,21000,,,
173489077067,1643669400,21000,174989077067,21000,194276050745,1500000000,1500000000
330098003392,1632259329,21000,331098003392,21000,365551577458,1000000000,1000000000
103812533118,1636731275,21000,120209176003,21000,,,
