base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
39167451975,1646345871,21000,42295613609,21000,42295613609,42295613609,3128161634
33410320823,1648732676,21000,39017977838,21000,39017977838,39017977838,5607657015
39417258428,1645015853,21000,40372671835,21000,40372671835,40372671835,955413407
53973458960,1650817174,21000,55473458960,21000,76182462800,1500000000,1500000000
20996076931,1650802020,21000,23570071138,21000,23570071138,23570071138,2573994207
20996076931,1650802020,21000,27278652576,21000,27278652576,27278652576,6282575645
20583515675,1650760353,21000,22332566432,21000,22332566432,22332566432,1749050757
20583515675,1650760353,21000,28184616309,21000,28184616309,24565823075,7601100634
23648117928,1650802389,21000,25648117928,21000,31656160729,2000000000,2000000000
38104737675,1646350448,21000,47796763070,21000,47796763070,47796763070,9692025395
33384880055,1646315217,21000,39020715440,21000,39020715440,39020715440,5635835385
65948652943,1646345143,21000,70801797030,21000,70801797030,70801797030,4853144087
24042996083,1646305395,21000,26641815045,21000,26641815045,26641815045,2598818962
55423027192,1646337020,21000,56995913858,21000,56995913858,56995913858,1572886666
61670285519,1644999746,21000,65476821368,21000,65476821368,65476821368,3806535849
100740695703,1645050241,21000,105966594251,21000,105966594251,105966594251,5225898548
22309248358,1648312898,21000,24877284718,21000,24877284718,24877284718,2568036360
29984044200,1650618425,21000,32109574417,21000,32109574417,32109574417,2125530217
24812640886,1650844452,21000,26884973476,21000,26884973476,26884973476,2072332590
78719697108,1649100067,21000,79879787606,21000,79879787606,79879787606,1160090498
39072413633,1649058227,21000,45072413633,21000,46183839972,6000000000,6000000000
37217905055,1648685732,21000,38717905055,21000,40808272023,1500000000,1500000000
41101224793,1648255552,21000,42779389118,21000,42779389118,32786210786,1678164325
20479802129,1650762363,21000,21979802129,21000,25829135328,1500000000,1500000000
42544738328,1650807852,21000,44544738328,21000,52545959194,2000000000,2000000000
23506718342,1650802066,21000,24799115838,21000,24799115838,24799115838,1292397496
28764354564,1646311955,21000,34396465981,21000,34396465981,34396465981,5632111417
34116681008,1646344071,21000,37587785589,21000,37587785589,37587785589,3471104581
49463983466,1646345825,21000,50484246225,21000,50484246225,50484246225,1020262759
49463983466,1646345825,21000,50484246225,21000,50484246225,50484246225,1020262759
49463983466,1646345825,21000,50484246225,21000,50484246225,50484246225,1020262759
28249127700,1645015872,21000,38022534969,21000,38022534969,38022534969,9773407269
16810162935,1648269024,21000,17768706078,21000,17768706078,17768706078,958543143
20476520295,1650796775,21000,22476520295,21000,25000000000,2000000000,2000000000
62138769051,1649082141,21000,64000050523,21000,64000050523,64000050523,1861281472
45589887638,1645016173,21000,47089887638,21000,54650715830,1500000000,1500000000
241195109372,1644970583,21000,300870664130,21000,300870664130,141675232169,59675554758
29302426745,1648310056,21000,31302426745,21000,33000000000,2000000000,2000000000
30539324305,1648316147,21000,32211503265,21000,32211503265,32211503265,1672178960
24427906173,1650807129,21000,30661325928,21000,30661325928,30661325928,6233419755
118959724802,1649098594,21000,130262881537,21000,130262881537,130262881537,11303156735
52863111418,1646324692,21000,58194306807,21000,58194306807,58194306807,5331195389
43410209514,1644978553,21000,50552762718,21000,50552762718,50552762718,7142553204
61773310324,1644985952,21000,70672088734,21000,70672088734,70672088734,8898778410
34432050214,1648331649,21000,37646180873,21000,37646180873,37646180873,3214130659
49366168973,1650648217,21000,50866168973,21000,70631441880,1500000000,1500000000
29340514142,1650766808,21000,32050449227,21000,32050449227,32050449227,2709935085
40875964466,1650831622,21000,45740122217,21000,45740122217,45740122217,4864157751
65789407776,1650823171,21000,83695436738,21000,83695436738,83695436738,17906028962
75727526877,1649098682,21000,79503118783,21000,79503118783,79503118783,3775591906
75727526877,1649098682,21000,82444177613,21000,82444177613,82444177613,6716650736
44384220949,1646341173,21000,48022877747,21000,48022877747,48022877747,3638656798
54997166881,1646329591,21000,56451527165,21000,56451527165,56451527165,1454360284
37440492611,1648733436,21000,40930828922,21000,40930828922,40930828922,3490336311
44772872178,1644991414,21000,46619915759,21000,46619915759,46619915759,1847043581
53503249447,1645002276,21000,55057197331,21000,55057197331,55057197331,1553947884
43756096053,1645007417,21000,48965053835,21000,48965053835,48965053835,5208957782
38181894242,1649048590,21000,39900556079,21000,39900556079,39900556079,1718661837
42359595485,1649066092,21000,43859595485,21000,52981270340,1500000000,1500000000
91003142551,1649087108,21000,93003142551,21000,127000000000,2000000000,2000000000
30085101259,1646306844,21000,32085101259,21000,44427255400,2000000000,2000000000
115144483220,1645038283,21000,153206655984,21000,153206655984,44033228470,38062172764
52347143948,1645007684,21000,54865816627,21000,54865816627,54865816627,2518672679
89981124075,1645041687,21000,92033239185,21000,92033239185,92033239185,2052115110
45664593440,1648276470,21000,47164593440,21000,52588540518,1500000000,1500000000
33834663353,1648325179,21000,36105905026,21000,36105905026,36105905026,2271241673
25768436378,1650610656,21000,33733577259,21000,33733577259,33733577259,7965140881
41314082452,1650592311,21000,42814082452,21000,54843817013,1500000000,1500000000
23150662333,1650804483,21000,26627682728,21000,26627682728,26627682728,3477020395
23150662333,1650804483,21000,28650662333,21000,550000000000,5500000000,5500000000
28985372451,1648690582,21000,31312553434,21000,31312553434,31312553434,2327180983
38121623930,1648696217,21000,40596126497,21000,40596126497,40596126497,2474502567
77428731641,1648746358,21000,83083863802,21000,83083863802,83083863802,5655132161
74761133952,1645054065,21000,78532140946,21000,78532140946,78532140946,3771006994
26362736419,1648271529,21000,29085731677,21000,29085731677,29085731677,2722995258
26362736419,1648271529,21000,29085731677,21000,29085731677,29085731677,2722995258
73731907238,1650643354,21000,76362962126,21000,76362962126,76362962126,2631054888
18343193297,1650772149,21000,23170605811,21000,23170605811,23170605811,4827412514
34946056009,1650806329,21000,37109159341,21000,37109159341,37109159341,2163103332
31168384521,1650820727,21000,34517898767,21000,34517898767,34517898767,3349514246
39026406450,1650827036,21000,44669779188,21000,44669779188,44669779188,5643372738
16821466361,1650777412,21000,17505320252,21000,17505320252,17505320252,683853891
16821466361,1650777412,21000,17505320252,21000,17505320252,17505320252,683853891
91771276012,1646318663,21000,91881642690,21000,91881642690,91881642690,110366678
68168940409,1646319494,21000,68459036577,21000,68459036577,68459036577,290096168
30889402462,1648715096,21000,32389402462,21000,39695912875,1500000000,1500000000
96046881125,1644975417,21000,108957475879,21000,108957475879,108957475879,12910594754
34782467240,1645014224,21000,36782467240,21000,49000000000,2000000000,2000000000
58554764453,1650666215,21000,60871303619,21000,60871303619,60871303619,2316539166
41038712203,1650594529,21000,43655034283,21000,43655034283,43655034283,2616322080
34267053719,1650602582,21000,35767053719,21000,42615964207,1500000000,1500000000
53324393777,1650595783,31500,58000000000,21000,,,
39565893242,1650668613,21000,41065893242,21000,52281793747,1500000000,1500000000
46390229932,1650809100,21000,47890229932,21000,67336538800,1500000000,1500000000
47593541406,1646340088,21000,50565564703,21000,,,
50607022114,1646279577,21000,52107022114,21000,60832991172,1500000000,1500000000
30708819340,1646302136,21000,32018643144,21000,32018643144,32018643144,1309823804
30708819340,1646302136,21000,35830313551,21000,35830313551,35830313551,5121494211
55658318662,1646330424,21000,57158318662,21000,66844663948,1500000000,1500000000
107653312182,1648735471,21000,134000000000,21000,134000000000,125000000000,26346687818
42319744153,1645048680,21000,47603454349,21000,47603454349,47603454349,5283710196
59956595044,1645042423,21000,67023854534,21000,67023854534,67023854534,7067259490
63829542162,1645045185,21000,79507184460,21000,79507184460,79507184460,15677642298
30057624557,1648266239,21000,75304618510,21000,75304618510,75304618510,45246993953
39105973209,1648309907,21000,41105973209,21000,55000000000,2000000000,2000000000
34023439755,1650610010,21000,35523439755,21000,46847893190,1500000000,1500000000
54662440539,1650661188,21000,56162440539,21000,77256771539,1500000000,1500000000
90776375641,1650590271,21000,92776375641,21000,115177905779,2000000000,2000000000
18523631716,1650762991,21000,21717772633,21000,21717772633,21717772633,3194140917
47037865399,1648767729,21000,54846497291,21000,54846497291,54846497291,7808631892
44693493723,1648751669,21000,51047304180,21000,51047304180,51047304180,6353810457
