base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
99105288152,1642154292,54921,100605288152,50121,124071028955,1500000000,1500000000
162938157782,1642172887,67622,164763503782,67622,220509884764,1825346000,1825346000
162938157782,1642172887,55648,165438157782,55648,311613152362,2500000000,2500000000
146168807426,1642161687,327982,147668807426,327982,194847765748,1500000000,1500000000
74908181070,1643974684,336899,76408181070,336899,102499269050,1500000000,1500000000
148987952570,1642142074,55705,150487952570,50905,206256833542,1500000000,1500000000
40137429390,1649912327,55717,41637429390,50917,49284733277,1500000000,1500000000
48750619790,1649903918,54676,49470112950,49876,,,
107582986498,1643978929,55632,109082986498,55632,115513312473,1500000000,1500000000
173777243043,1641670010,60838,175277243043,60838,200422219612,1500000000,1500000000
198513617892,1642180591,67634,200013617892,62834,254323423617,1500000000,1500000000
35967046598,1648233238,333690,46708762715,333690,,,
27483248252,1644925568,71175,37483248252,59905,76753171352,10000000000,10000000000
659927964262,1642122130,331155,662304464262,331155,708154288589,2376500000,2376500000
57841678035,1649949234,54748,59341678035,49948,80906614098,1500000000,1500000000
121117285737,1643990150,311088,122617285737,311088,135996097733,1500000000,1500000000
121117285737,1643990150,55717,122617285737,50917,135996097733,1500000000,1500000000
60306689398,1643963160,326856,61806689398,326856,81332775543,1500000000,1500000000
153550799187,1642146762,67634,155050799187,67634,192561121098,1500000000,1500000000
23945327144,1648209717,67646,25445327144,62846,31591619359,1500000000,1500000000
44230396122,1649901025,67634,45730396122,62834,63131025258,1500000000,1500000000
51339657710,1649940731,67634,52839657710,62834,62258780645,1500000000,1500000000
59561037571,1649946735,63200,61061037571,63200,110391989874,1500000000,1500000000
133147752647,1641662933,67646,134647752647,62846,182487057605,1500000000,1500000000
83781978346,1641645885,66718,85281978346,66718,102283642949,1500000000,1500000000
47542784829,1649955497,55592,70916907909,50792,,,
52802665359,1649959261,60862,54302665359,56062,58239216430,1500000000,1500000000
175185553510,1643995022,337470,176685553510,337470,209535751393,1500000000,1500000000
174022901637,1642175406,55580,175522901637,50780,202605958250,1500000000,1500000000
31145053440,1648217668,67646,32645053440,67646,46004926512,1500000000,1500000000
185788774068,1642180110,60850,187288774068,56050,263827917373,1500000000,1500000000
30200854661,1648212508,67646,31850854661,62846,33000000000,1650000000,1650000000
41790361454,1649969770,66706,43290361454,66706,64035707012,1500000000,1500000000
153930185641,1642127719,55705,155430185641,50905,229115049305,1500000000,1500000000
40043901000,1649895494,51428,41543901000,51428,73972899872,1500000000,1500000000
162413271784,1642191450,333201,163913271784,333201,179538223138,1500000000,1500000000
186613203053,1642197983,56516,188613203053,51716,216134547848,2000000000,2000000000
35330947225,1648176076,60862,36830947225,56062,51640689229,1500000000,1500000000
93161584725,1649965201,67634,94661584725,67634,120840359673,1500000000,1500000000
128668399811,1643932923,55648,131168399811,55648,276522504796,2500000000,2500000000
45341709519,1644909868,67646,46841709519,62846,53838331039,1500000000,1500000000
34647838327,1644908168,337478,36147838327,337478,46721919627,1500000000,1500000000
58324086776,1644890383,337466,59824086776,337466,73162528943,1500000000,1500000000
79825017056,1641630106,336239,81325017056,336239,84564953748,1500000000,1500000000
89093811409,1641646087,327345,90593811409,327345,118486326219,1500000000,1500000000
127156619342,1641656168,67634,128656619342,62834,164316213534,1500000000,1500000000
33281938910,1649912507,60862,34281938910,56062,40000000000,1000000000,1000000000
144355015334,1641680063,63825,145855015334,59025,151031652758,1500000000,1500000000
118793505991,1641677138,333718,120293505991,333718,148086937425,1500000000,1500000000
232659391894,1642125230,55705,234159391894,50905,312358454342,1500000000,1500000000
138869422552,1642148051,328016,140369422552,328016,175563750152,1500000000,1500000000
20445862270,1649933066,60850,21945862270,56050,25249421180,1500000000,1500000000
27985813654,1649922788,340629,29485813654,340629,40120750652,1500000000,1500000000
64195088006,1644961427,307058,65255733637,307058,65255733637,1500000000,1060645631
207593457618,1641658413,334276,209093457618,334276,266944833289,1500000000,1500000000
551734816717,1642119589,67622,554087796717,67622,767566570009,2352980000,2352980000
27216465461,1649937117,66766,28716465461,66766,35036423380,1500000000,1500000000
154964222491,1643995388,323067,156464222491,316598,156671145823,1500000000,1500000000
77202153407,1641621934,55705,78702153407,50905,90816516887,1500000000,1500000000
171778683475,1642195060,319767,173278683475,319767,175000000000,1500000000,1500000000
171778683475,1642195060,334350,173278683475,334350,175532791897,1500000000,1500000000
30248331204,1649924782,66754,31748331204,61954,44577260454,1500000000,1500000000
37456432746,1649971904,66730,38956432746,66730,50266939682,1500000000,1500000000
62041850698,1644954918,66754,63541850698,61954,89926307595,1500000000,1500000000
196037820858,1641670917,60850,197537820858,56050,206357129958,1500000000,1500000000
150199739373,1642138462,40838,151609739373,40838,198473504510,1410000000,1410000000
